1,card 1,45592260,credit
2,card 1,18146397,credit
3,card 1,51411913,credit
4,card 1,51461745,credit
5,card 1,25282920,credit
6,card 1,37969161,credit
7,card 1,95396790,credit
8,card 1,80173623,credit
9,card 1,77507889,credit
10,card 1,59136816,credit
11,card 1,86399204,credit
12,card 1,59519797,credit
13,card 1,79943445,credit
14,card 1,27190828,credit
15,card 1,49326780,credit
16,card 1,72933697,credit
17,card 1,11412336,credit
18,card 1,76290003,credit
19,card 1,23221790,credit
20,card 1,10491961,credit
21,card 1,81363314,credit
22,card 1,31693373,credit
23,card 1,2365289,credit
24,card 1,76893363,credit
25,card 1,27546708,credit
26,card 1,51546782,credit
27,card 1,91216689,credit
28,card 1,86861233,credit
29,card 1,47441188,credit
30,card 1,70017812,credit
31,card 1,93540490,credit
32,card 1,32608643,credit
33,card 1,48978459,credit
34,card 1,8893227,credit
35,card 1,8917289,credit
36,card 1,41758094,credit
37,card 1,36551769,credit
38,card 1,37236698,credit
39,card 1,34781644,credit
40,card 1,29003422,credit
41,card 1,76178049,credit
42,card 1,77580928,credit
43,card 1,62007704,credit
44,card 1,95853600,credit
45,card 1,67930371,credit
46,card 1,94372105,credit
47,card 1,73346048,credit
48,card 1,36457690,credit
49,card 1,93343053,credit
50,card 1,21410266,credit
51,card 1,50662784,credit
52,card 1,50667285,credit
53,card 1,26800823,credit
54,card 1,39153529,credit
55,card 1,17483204,credit
56,card 1,8395679,credit
57,card 1,21526445,credit
58,card 1,40526378,credit
59,card 1,38199114,credit
60,card 1,66343545,credit
61,card 1,99538245,credit
62,card 1,26933405,credit
63,card 1,74009998,credit
64,card 1,73701118,credit
65,card 1,58182009,credit
66,card 1,88604885,credit
67,card 1,56467940,credit
68,card 1,70203408,credit
69,card 1,33729715,credit
70,card 1,21644572,credit
71,card 1,46576934,credit
72,card 1,73011985,credit
73,card 1,35245977,credit
74,card 1,36851051,credit
75,card 1,18508180,credit
76,card 1,80282627,credit
77,card 1,20198443,credit
78,card 1,27143600,credit
79,card 1,47253618,credit
80,card 1,46306522,credit
